action, angle, velocity, Q
Off, 4, 31, -13.2516
Off, 4, 32, -12.1946
Off, 4, 33, -10.6177
Off, 4, 34, -9.61117
Off, 4, 35, 0
Off, 4, 36, 0
Off, 4, 37, -6.69461
Off, 4, 38, 0
Off, 4, 39, -4.30539
Off, 4, 40, -3.7888
Off, 4, 41, -2.6473
Off, 4, 42, -2.48998
Off, 4, 43, -1.47088
Off, 4, 44, -1.15901
Off, 4, 45, -0.730652
Off, 4, 46, -0.549041
Off, 4, 47, 0
Off, 4, 48, -0.120458
Off, 4, 49, 0
Off, 4, 50, -0.0741397
Off, 4, 51, -0.207736
Off, 4, 52, -0.404428
Off, 4, 53, -0.540198
Off, 4, 54, -0.777227
Off, 4, 55, -1.44167
Off, 4, 56, -1.96602
Off, 4, 57, -2.41689
Off, 4, 58, -3.09037
Off, 4, 59, -3.43834
Off, 4, 60, -4.61756
Off, 4, 61, -5.21516
Off, 4, 62, -6.90534
Off, 4, 63, -7.95357
Off, 4, 64, -8.91419
Off, 4, 65, -10.4246
Off, 4, 66, -11.1749
Off, 4, 67, -12.4746
Off, 4, 68, 0
Off, 4, 69, -15.4634
Off, 4, 70, -17.0048
Off, 4, 71, 0
Off, 4, 72, 0
Off, 4, 73, 0
Off, 4, 74, -23.5509
Off, 4, 75, 0
Off, 4, 76, 0
Off, 4, 77, -31.4428
Off, 4, 78, -33.9832
Off, 4, 79, -34.323
Off, 4, 80, -38.7456
Off, 4, 81, -39.1802
Off, 4, 82, 0
Off, 4, 83, -44.3927
Off, 4, 84, -47.8796
Off, 4, 85, -51.4993
Off, 4, 86, 0
Off, 4, 87, 0
Off, 4, 88, -58.2675
Off, 4, 89, 0
Off, 4, 90, 0
Off, 4, 91, 0
Off, 4, 92, 0
Off, 4, 93, 0
Off, 4, 94, 0
Off, 4, 95, 0
Off, 4, 96, 0
Off, 4, 97, 0
Off, 4, 98, 0
Off, 4, 99, 0
Off, 5, 0, 0
Off, 5, 1, 0
Off, 5, 2, 0
Off, 5, 3, -84.4162
Off, 5, 4, 0
Off, 5, 5, 0
Off, 5, 6, 0
Off, 5, 7, 0
Off, 5, 8, 0
Off, 5, 9, -64.4444
Off, 5, 10, 0
Off, 5, 11, 0
Off, 5, 12, 0
Off, 5, 13, 0
Off, 5, 14, 0
Off, 5, 15, 0
Off, 5, 16, 0
Off, 5, 17, 0
Off, 5, 18, 0
Off, 5, 19, 0
Off, 5, 20, -35.3539
Off, 5, 21, -32.8759
Off, 5, 22, -29.8017
Off, 5, 23, 0
Off, 5, 24, -25.7671
Off, 5, 25, 0
Off, 5, 26, -22.6901
Off, 5, 27, 0
Off, 5, 28, -17.8791
Off, 5, 29, 0
Off, 5, 30, -14.6253
Off, 5, 31, 0
Off, 5, 32, -12.232
Off, 5, 33, -10.8536
Off, 5, 34, -10.0045
Off, 5, 35, -8.00869
Off, 5, 36, -7.31515
Off, 5, 37, -6.58087
Off, 5, 38, -4.91719
Off, 5, 39, -4.78361
Off, 5, 40, -3.91484
Off, 5, 41, 0
Off, 5, 42, -2.17616
Off, 5, 43, -1.54826
Off, 5, 44, -1.26009
Off, 5, 45, -0.936301
Off, 5, 46, -0.632276
Off, 5, 47, -0.358522
Off, 5, 48, 0
Off, 5, 49, -1.00076
Off, 5, 50, 0
Off, 5, 51, -0.249678
Off, 5, 52, -0.315668
Off, 5, 53, -0.622673
Off, 5, 54, -0.819738
Off, 5, 55, -1.29534
Off, 5, 56, -1.83941
Off, 5, 57, -2.50736
Off, 5, 58, -2.84045
Off, 5, 59, -3.92208
Off, 5, 60, 0
Off, 5, 61, -5.51091
Off, 5, 62, 0
Off, 5, 63, -7.23198
Off, 5, 64, -8.34989
Off, 5, 65, 0
Off, 5, 66, 0
Off, 5, 67, -12.1905
Off, 5, 68, -13.5663
Off, 5, 69, -16.3099
Off, 5, 70, -16.9567
Off, 5, 71, 0
Off, 5, 72, -21.0555
Off, 5, 73, 0
Off, 5, 74, 0
Off, 5, 75, -27.367
Off, 5, 76, -28.9621
Off, 5, 77, 0
Off, 5, 78, -32.5165
Off, 5, 79, 0
Off, 5, 80, 0
Off, 5, 81, 0
Off, 5, 82, 0
Off, 5, 83, 0
Off, 5, 84, 0
Off, 5, 85, 0
Off, 5, 86, 0
Off, 5, 87, 0
Off, 5, 88, 0
Off, 5, 89, 0
Off, 5, 90, 0
Off, 5, 91, 0
Off, 5, 92, 0
Off, 5, 93, 0
Off, 5, 94, 0
Off, 5, 95, 0
Off, 5, 96, 0
Off, 5, 97, 0
Off, 5, 98, 0
Off, 5, 99, 0
Off, 6, 0, 0
Off, 6, 1, 0
Off, 6, 2, 0
Off, 6, 3, 0
Off, 6, 4, 0
Off, 6, 5, 0
Off, 6, 6, 0
Off, 6, 7, 0
Off, 6, 8, 0
Off, 6, 9, 0
Off, 6, 10, 0
Off, 6, 11, -57.803
Off, 6, 12, 0
Off, 6, 13, 0
Off, 6, 14, 0
Off, 6, 15, -47.9387
Off, 6, 16, 0
Off, 6, 17, -43.0349
Off, 6, 18, -39.585
Off, 6, 19, 0
Off, 6, 20, 0
Off, 6, 21, -32.4145
Off, 6, 22, -30.1341
Off, 6, 23, -27.2091
Off, 6, 24, 0
Off, 6, 25, -24.0169
Off, 6, 26, 0
Off, 6, 27, -19.356
Off, 6, 28, -19.08
Off, 6, 29, -16.2711
Off, 6, 30, 0
Off, 6, 31, -13.6201
Off, 6, 32, 0
Off, 6, 33, -10.313
Off, 6, 34, -9.78658
Off, 6, 35, -8.13855
Off, 6, 36, -6.88636
Off, 6, 37, -5.95196
Off, 6, 38, -5.17305
Off, 6, 39, -4.33195
Off, 6, 40, 0
Off, 6, 41, -3.11764
Off, 6, 42, -2.15294
Off, 6, 43, 0
Off, 6, 44, -1.24503
Off, 6, 45, 0
Off, 6, 46, -0.648174
Off, 6, 47, -1.38092
Off, 6, 48, -0.281415
Off, 6, 49, -0.180906
Off, 6, 50, 0
Off, 6, 51, -0.252942
Off, 6, 52, -0.511539
Off, 6, 53, 0
Off, 6, 54, -1.2434
Off, 6, 55, 0
Off, 6, 56, 0
Off, 6, 57, -2.47905
Off, 6, 58, -3.15744
Off, 6, 59, -3.88454
Off, 6, 60, 0
Off, 6, 61, -5.8136
Off, 6, 62, 0
Off, 6, 63, -7.31223
Off, 6, 64, -8.66543
Off, 6, 65, -10.5048
Off, 6, 66, -11.2609
Off, 6, 67, -13.1673
Off, 6, 68, 0
Off, 6, 69, -15.8577
Off, 6, 70, -17.3349
Off, 6, 71, 0
Off, 6, 72, 0
Off, 6, 73, 0
Off, 6, 74, -25.1406
Off, 6, 75, -26.5909
Off, 6, 76, -29.0212
Off, 6, 77, -30.2417
Off, 6, 78, -33.3157
Off, 6, 79, 0
Off, 6, 80, 0
Off, 6, 81, 0
Off, 6, 82, 0
Off, 6, 83, 0
Off, 6, 84, 0
Off, 6, 85, 0
Off, 6, 86, 0
Off, 6, 87, 0
Off, 6, 88, 0
Off, 6, 89, 0
Off, 6, 90, 0
Off, 6, 91, 0
Off, 6, 92, 0
Off, 6, 93, 0
Off, 6, 94, 0
Off, 6, 95, 0
Off, 6, 96, 0
Off, 6, 97, 0
Off, 6, 98, 0
Off, 6, 99, 0
Off, 7, 0, 0
Off, 7, 1, 0
Off, 7, 2, 0
